Date,Pies,Cookies,Smoothies,Coffee,promotion
7/3/2014,32,493,225,484,none
7/4/2014,66,590,386,483,none
7/5/2014,56,693,393,219,none
7/6/2014,69,1152,420,499,promotion
7/7/2014,52,526,247,246,none
7/8/2014,36,490,336,448,none
7/9/2014,31,481,125,252,promotion
7/10/2014,72,609,252,402,promotion
7/11/2014,60,468,195,532,none
7/12/2014,38,535,322,521,none
7/13/2014,48,634,265,324,none
7/14/2014,49,537,378,330,none
7/15/2014,34,541,370,314,none
7/16/2014,45,338,243,352,none
7/17/2014,38,396,317,395,none
7/18/2014,66,538,335,334,none
7/19/2014,56,555,407,490,none
7/20/2014,57,590,344,562,none
7/21/2014,57,490,238,257,none
7/22/2014,43,435,224,398,none
7/23/2014,48,479,311,388,none
7/24/2014,53,449,281,316,none
7/25/2014,56,743,298,135,none
7/26/2014,54,438,191,458,none
7/27/2014,69,662,298,500,none
7/28/2014,45,406,305,396,none
7/29/2014,49,392,244,316,none
7/30/2014,50,554,172,440,none
7/31/2014,68,561,305,272,promotion
8/1/2014,59,671,290,421,none
8/2/2014,47,707,465,406,none
8/3/2014,53,451,412,561,none
8/4/2014,59,435,262,428,none
8/5/2014,52,533,254,539,promotion
8/6/2014,35,295,299,428,none
8/7/2014,31,477,146,443,none
8/8/2014,90,559,468,486,promotion
8/9/2014,73,789,336,504,none
8/10/2014,54,714,235,441,none
8/11/2014,49,548,304,308,none
8/12/2014,32,353,200,347,none
8/13/2014,63,445,274,317,none
8/14/2014,56,401,237,416,none
8/15/2014,67,483,328,475,none
8/16/2014,47,655,460,578,promotion
8/17/2014,49,559,247,450,none
8/18/2014,55,571,209,249,none
8/19/2014,51,530,280,334,none
8/20/2014,64,482,146,294,none
8/21/2014,26,429,186,435,none
8/22/2014,32,578,278,478,none
8/23/2014,78,701,311,418,none
8/24/2014,86,560,551,546,promotion
8/25/2014,52,623,327,445,none
8/26/2014,68,502,212,499,none
8/27/2014,40,490,333,393,none
8/28/2014,52,552,277,365,none
8/29/2014,45,576,353,442,promotion
8/30/2014,59,886,250,615,none
8/31/2014,58,698,385,581,promotion
9/1/2014,52,351,221,229,none
9/2/2014,71,555,212,322,promotion
9/3/2014,46,634,133,333,none
9/4/2014,34,445,211,214,none
9/5/2014,82,759,204,426,none
9/6/2014,80,465,312,355,none
9/7/2014,42,511,298,303,none
9/8/2014,40,467,140,219,none
9/9/2014,40,681,210,458,none
9/10/2014,46,570,172,347,none
9/11/2014,52,294,173,214,none
9/12/2014,60,788,157,416,none
9/13/2014,95,422,189,443,none
9/14/2014,62,576,206,486,none
9/15/2014,29,575,288,335,none
9/16/2014,37,397,200,360,none
9/17/2014,55,395,198,442,none
9/18/2014,48,441,251,420,none
9/19/2014,68,697,306,334,none
9/20/2014,87,555,230,638,promotion
9/21/2014,54,656,216,601,none
9/22/2014,63,494,256,422,none
9/23/2014,60,370,270,374,none
9/24/2014,43,590,248,281,none
9/25/2014,34,501,180,526,none
9/26/2014,53,514,279,338,none
9/27/2014,49,769,275,537,none
9/28/2014,64,697,138,293,none
9/29/2014,43,600,161,435,none
9/30/2014,40,626,125,361,none
10/1/2014,48,440,193,306,none
10/2/2014,29,535,240,402,none
10/3/2014,71,631,267,274,none
10/4/2014,77,444,230,687,none
10/5/2014,53,689,272,617,none
10/6/2014,61,585,148,397,none
10/7/2014,51,482,176,241,none
10/8/2014,22,376,184,461,none
10/9/2014,65,625,206,253,none
10/10/2014,63,514,225,329,none
10/11/2014,58,540,269,491,none
10/12/2014,76,385,223,233,none
10/13/2014,52,637,209,317,none
10/14/2014,49,590,147,366,none
10/15/2014,45,532,259,346,none
10/16/2014,28,569,314,433,none
10/17/2014,45,527,128,567,none
10/18/2014,84,941,196,461,none
10/19/2014,63,658,196,459,promotion
10/20/2014,42,584,141,303,none
10/21/2014,44,508,219,233,none
10/22/2014,53,403,243,442,none
10/23/2014,46,754,202,376,none
10/24/2014,78,403,223,543,none
10/25/2014,72,582,253,323,none
10/26/2014,69,554,271,343,none
10/27/2014,46,488,194,347,none
10/28/2014,50,528,120,411,none
10/29/2014,37,290,123,301,none
10/30/2014,41,414,235,482,none
10/31/2014,82,552,234,426,none
11/1/2014,71,840,233,758,none
11/2/2014,68,860,174,427,none
11/3/2014,38,377,119,433,none
11/4/2014,58,358,165,214,none
11/5/2014,49,613,175,306,none
11/6/2014,39,636,109,316,none
11/7/2014,69,614,209,521,none
11/8/2014,78,803,256,404,none
11/9/2014,64,722,182,329,none
11/10/2014,54,456,120,253,none
11/11/2014,33,473,147,295,promotion
11/12/2014,62,489,155,210,none
11/13/2014,38,425,166,298,none
11/14/2014,71,602,217,376,none
11/15/2014,88,744,267,500,none
11/16/2014,89,649,193,391,none
11/17/2014,44,549,151,289,none
11/18/2014,47,497,164,214,none
11/19/2014,33,584,106,279,none
11/20/2014,46,512,85,222,none
11/21/2014,64,720,147,535,none
11/22/2014,66,745,316,494,none
11/23/2014,53,594,144,591,none
11/24/2014,46,465,186,435,promotion
11/25/2014,49,432,151,356,none
11/26/2014,61,558,132,331,none
11/27/2014,52,561,92,278,none
11/28/2014,55,601,201,471,none
11/29/2014,56,746,135,332,none
11/30/2014,53,401,190,518,none
12/1/2014,56,629,104,409,none
12/2/2014,55,464,128,396,none
12/3/2014,46,465,142,236,none
12/4/2014,56,385,201,328,none
12/5/2014,63,582,198,444,none
12/6/2014,52,657,277,392,none
12/7/2014,50,685,129,488,none
12/8/2014,54,577,149,228,none
12/9/2014,68,716,239,444,promotion
12/10/2014,49,533,220,345,none
12/11/2014,63,566,239,306,none
12/12/2014,64,686,96,410,none
12/13/2014,93,594,342,639,none
12/14/2014,67,707,243,277,none
12/15/2014,39,423,167,305,none
12/16/2014,63,581,202,347,none
12/17/2014,40,489,96,433,none
12/18/2014,52,387,129,378,none
12/19/2014,68,532,236,441,none
12/20/2014,62,657,292,473,none
12/21/2014,49,391,148,563,none
12/22/2014,71,381,171,368,none
12/23/2014,43,419,155,352,none
12/24/2014,28,647,206,305,none
12/25/2014,51,650,115,216,none
12/26/2014,67,663,182,375,none
12/27/2014,74,600,207,528,none
12/28/2014,82,601,156,427,none
12/29/2014,48,555,252,338,promotion
12/30/2014,43,555,160,339,none
12/31/2014,64,337,151,322,none
1/1/2015,39,281,155,407,none
1/2/2015,35,575,131,420,none
1/3/2015,48,742,175,536,none
1/4/2015,76,394,196,530,none
1/5/2015,52,335,116,362,none
1/6/2015,43,458,146,295,none
1/7/2015,49,400,173,246,none
1/8/2015,43,570,185,445,none
1/9/2015,54,526,186,400,none
1/10/2015,64,641,198,570,none
1/11/2015,67,614,163,451,none
1/12/2015,51,410,166,411,none
1/13/2015,50,484,143,408,none
1/14/2015,41,596,132,345,none
1/15/2015,41,491,167,282,none
1/16/2015,38,668,148,476,none
1/17/2015,66,759,190,309,none
1/18/2015,58,580,208,284,none
1/19/2015,41,381,125,410,none
1/20/2015,40,322,111,294,none
1/21/2015,38,559,119,375,none
1/22/2015,52,466,154,315,none
1/23/2015,73,778,187,417,none
1/24/2015,56,702,215,448,none
1/25/2015,75,325,193,511,none
1/26/2015,63,443,188,346,none
1/27/2015,35,423,169,319,none
1/28/2015,39,373,173,411,none
1/29/2015,57,568,100,463,none
1/30/2015,48,629,185,421,none
1/31/2015,59,595,184,434,none
2/1/2015,72,412,175,424,none
2/2/2015,40,513,165,375,none
2/3/2015,37,308,138,312,none
2/4/2015,61,521,167,337,none
2/5/2015,42,578,132,448,none
2/6/2015,77,883,189,356,none
2/7/2015,67,713,219,397,none
2/8/2015,53,845,205,319,none
2/9/2015,43,499,179,229,none
2/10/2015,54,565,240,435,none
2/11/2015,50,463,150,429,none
2/12/2015,67,576,119,376,promotion
2/13/2015,41,594,205,428,none
2/14/2015,64,764,208,712,none
2/15/2015,54,387,166,303,none
2/16/2015,54,525,151,392,none
2/17/2015,43,629,140,406,none
2/18/2015,46,530,119,387,none
2/19/2015,52,460,216,486,none
2/20/2015,70,684,170,518,promotion
2/21/2015,56,634,180,393,none
2/22/2015,31,459,124,453,none
2/23/2015,35,552,114,334,none
2/24/2015,53,538,145,358,promotion
2/25/2015,45,621,191,257,none
2/26/2015,53,365,190,333,none
2/27/2015,77,584,229,335,none
2/28/2015,73,670,225,389,none
3/1/2015,54,648,217,522,none
3/2/2015,47,492,193,247,none
3/3/2015,41,419,199,453,none
3/4/2015,47,393,166,241,none
3/5/2015,54,568,123,342,none
3/6/2015,66,674,235,492,none
3/7/2015,84,581,221,539,none
3/8/2015,77,614,237,208,none
3/9/2015,43,451,165,426,promotion
3/10/2015,49,508,145,448,none
3/11/2015,48,397,127,317,none
3/12/2015,54,492,171,597,none
3/13/2015,49,463,150,244,none
3/14/2015,89,751,153,412,none
3/15/2015,48,475,212,458,none
3/16/2015,54,597,297,380,promotion
3/17/2015,77,448,213,397,promotion
3/18/2015,57,470,230,164,none
3/19/2015,43,530,194,416,none
3/20/2015,89,585,250,558,none
3/21/2015,72,696,276,319,none
3/22/2015,46,708,174,389,none
3/23/2015,45,380,161,330,none
3/24/2015,48,435,138,272,none
3/25/2015,63,348,199,251,none
3/26/2015,56,523,118,367,none
3/27/2015,66,726,149,608,none
3/28/2015,64,686,244,609,none
3/29/2015,56,257,236,446,none
3/30/2015,55,547,234,427,promotion
3/31/2015,39,361,122,429,none
4/1/2015,41,457,297,259,none
4/2/2015,40,482,199,359,none
4/3/2015,41,744,222,584,none
4/4/2015,36,711,326,481,none
4/5/2015,53,541,294,564,none
4/6/2015,33,584,211,232,none
4/7/2015,44,576,212,441,none
4/8/2015,71,427,194,520,none
4/9/2015,54,521,140,316,none
4/10/2015,72,324,239,385,none
4/11/2015,38,701,291,503,none
4/12/2015,61,658,183,540,none
4/13/2015,44,485,196,269,none
4/14/2015,50,575,145,309,none
4/15/2015,55,354,104,212,none
4/16/2015,48,616,188,357,none
4/17/2015,68,657,243,431,none
4/18/2015,72,760,330,431,none
4/19/2015,53,481,231,553,none
4/20/2015,48,559,206,454,none
4/21/2015,47,362,277,484,none
4/22/2015,65,511,200,342,none
4/23/2015,57,682,301,308,none
4/24/2015,68,517,240,398,none
4/25/2015,67,705,175,407,none
4/26/2015,66,465,237,393,none
4/27/2015,69,435,162,280,none
4/28/2015,52,444,160,291,none
4/29/2015,62,488,253,542,none
4/30/2015,39,328,252,275,none
5/1/2015,47,571,290,533,none
5/2/2015,58,760,171,451,none
5/3/2015,58,691,326,553,promotion
5/4/2015,37,320,244,262,none
5/5/2015,48,556,223,412,none
5/6/2015,51,501,183,341,none
5/7/2015,44,699,153,290,none
5/8/2015,45,744,313,480,none
5/9/2015,58,917,351,323,none
5/10/2015,52,678,330,268,none
5/11/2015,50,487,282,615,promotion
5/12/2015,45,444,287,286,none
5/13/2015,51,598,262,177,none
5/14/2015,64,642,221,395,none
5/15/2015,60,704,174,160,none
5/16/2015,66,487,283,543,none
5/17/2015,65,277,310,251,none
5/18/2015,51,300,249,460,none
5/19/2015,57,340,236,413,none
5/20/2015,44,423,65,278,none
5/21/2015,22,457,266,303,none
5/22/2015,57,665,334,303,none
5/23/2015,69,736,312,550,promotion
5/24/2015,68,768,185,570,none
5/25/2015,61,569,159,366,promotion
5/26/2015,49,391,97,261,none
5/27/2015,30,543,219,506,none
5/28/2015,50,546,212,380,none
5/29/2015,65,759,263,489,none
5/30/2015,54,716,419,429,none
5/31/2015,56,525,233,621,none
6/1/2015,29,398,336,261,none
6/2/2015,37,428,259,510,none
6/3/2015,39,539,244,350,none
6/4/2015,43,623,316,314,none
6/5/2015,75,750,290,367,none
6/6/2015,87,684,434,459,none
6/7/2015,55,563,181,462,none
6/8/2015,53,394,316,386,none
6/9/2015,39,553,326,499,promotion
6/10/2015,52,453,241,300,none
6/11/2015,59,515,281,373,none
6/12/2015,63,625,274,370,none
6/13/2015,42,638,260,634,none
6/14/2015,67,477,227,349,none
6/15/2015,54,548,276,369,none
6/16/2015,37,622,351,228,promotion
6/17/2015,61,548,381,440,none
6/18/2015,49,519,271,323,none
6/19/2015,57,621,331,521,none
6/20/2015,61,600,377,480,none
6/21/2015,67,595,241,349,none
6/22/2015,61,551,249,318,none
6/23/2015,54,505,276,395,none
6/24/2015,59,469,186,201,none
6/25/2015,35,501,157,325,none
6/26/2015,64,602,317,434,none
6/27/2015,41,390,251,451,none
6/28/2015,64,364,232,365,none
6/29/2015,46,395,283,291,none
6/30/2015,62,442,361,329,none
7/1/2015,25,397,256,394,none
7/2/2015,39,415,368,233,none
7/3/2015,61,514,269,476,none
7/4/2015,58,814,162,306,none
7/5/2015,59,606,337,555,promotion
7/6/2015,45,699,290,359,none
7/7/2015,57,645,238,368,none
7/8/2015,56,521,252,344,none
7/9/2015,50,383,274,378,none
7/10/2015,66,564,421,621,none
7/11/2015,64,868,477,505,promotion
7/12/2015,38,640,354,482,none
7/13/2015,44,366,233,313,none
7/14/2015,69,525,308,167,none
7/15/2015,36,373,258,402,none
7/16/2015,42,581,232,491,none
7/17/2015,60,627,387,734,promotion
7/18/2015,33,635,214,516,none
7/19/2015,72,688,302,397,none
7/20/2015,46,388,205,388,none
7/21/2015,42,473,220,469,none
7/22/2015,44,475,232,514,none
7/23/2015,54,487,265,287,none
7/24/2015,56,678,301,543,none
7/25/2015,73,623,361,534,none
7/26/2015,61,526,514,386,none
7/27/2015,48,615,211,344,none
7/28/2015,50,493,307,338,none
7/29/2015,69,473,386,378,promotion
7/30/2015,43,334,229,441,none
7/31/2015,55,538,293,272,none
8/1/2015,81,538,417,556,none
8/2/2015,54,340,356,251,none
8/3/2015,59,595,261,309,promotion
8/4/2015,48,612,200,466,none
8/5/2015,47,544,320,438,none
8/6/2015,61,460,212,375,none
8/7/2015,46,749,416,404,promotion
8/8/2015,67,662,326,417,none
8/9/2015,73,526,357,403,none
8/10/2015,46,419,259,311,none
8/11/2015,33,380,308,446,none
8/12/2015,39,398,161,356,none
8/13/2015,45,539,246,504,none
8/14/2015,56,496,241,422,none
8/15/2015,59,470,249,401,none
8/16/2015,57,570,248,406,none
8/17/2015,55,643,105,470,promotion
8/18/2015,56,656,295,428,none
8/19/2015,48,702,239,225,none
8/20/2015,53,534,221,308,none
8/21/2015,76,787,275,277,none
8/22/2015,69,913,272,404,none
8/23/2015,85,846,265,607,none
8/24/2015,53,588,261,323,promotion
8/25/2015,58,474,382,526,none
8/26/2015,37,669,316,442,promotion
8/27/2015,51,381,304,348,none
8/28/2015,67,657,441,432,promotion
8/29/2015,65,695,378,611,none
8/30/2015,74,692,335,343,none
8/31/2015,57,484,208,430,none
9/1/2015,37,415,272,386,none
9/2/2015,50,577,159,403,none
9/3/2015,65,536,131,390,none
9/4/2015,42,686,333,409,none
9/5/2015,74,619,191,545,none
9/6/2015,51,785,277,525,none
9/7/2015,47,593,134,316,none
9/8/2015,48,584,235,230,none
9/9/2015,29,576,211,304,none
9/10/2015,38,656,124,500,none
9/11/2015,61,640,228,254,none
9/12/2015,72,777,299,334,none
9/13/2015,66,762,251,509,none
9/14/2015,38,543,139,417,none
9/15/2015,42,746,243,463,promotion
9/16/2015,36,434,182,206,none
9/17/2015,59,399,222,460,none
9/18/2015,29,621,176,453,none
9/19/2015,77,818,377,495,promotion
9/20/2015,76,651,244,451,none
9/21/2015,62,545,258,528,promotion
9/22/2015,46,510,202,410,none
9/23/2015,53,618,250,351,none
9/24/2015,57,532,205,368,none
9/25/2015,51,445,143,547,none
9/26/2015,79,977,315,557,none
9/27/2015,62,718,140,431,none
9/28/2015,44,462,217,272,none
9/29/2015,44,369,143,260,none
9/30/2015,63,636,174,253,none
10/1/2015,44,602,267,436,none
10/2/2015,71,635,260,387,promotion
10/3/2015,63,966,268,634,none
10/4/2015,68,682,208,450,none
10/5/2015,39,653,262,424,none
10/6/2015,49,275,150,456,none
10/7/2015,40,849,243,348,none
10/8/2015,32,534,230,246,none
10/9/2015,91,719,216,685,promotion
10/10/2015,71,567,338,475,none
10/11/2015,38,515,290,453,none
10/12/2015,33,470,234,372,none
10/13/2015,44,539,228,354,none
10/14/2015,45,537,176,448,promotion
10/15/2015,42,549,192,492,none
10/16/2015,84,573,261,463,none
10/17/2015,76,566,349,686,none
10/18/2015,82,584,269,543,none
10/19/2015,37,589,187,298,none
10/20/2015,38,650,161,337,none
10/21/2015,47,386,203,316,none
10/22/2015,64,506,235,316,none
10/23/2015,45,826,275,361,none
10/24/2015,82,689,275,370,none
10/25/2015,87,465,280,528,none
10/26/2015,62,386,110,379,none
10/27/2015,44,310,137,287,none
10/28/2015,54,358,176,531,none
10/29/2015,61,581,73,303,none
10/30/2015,77,348,258,345,none
10/31/2015,52,441,221,340,none
11/1/2015,80,981,123,417,promotion
11/2/2015,39,462,149,286,none
11/3/2015,48,403,138,419,none
11/4/2015,37,452,160,234,none
11/5/2015,38,514,223,344,none
11/6/2015,57,533,245,469,none
11/7/2015,73,612,166,333,none
11/8/2015,62,646,189,473,promotion
11/9/2015,46,523,247,336,promotion
11/10/2015,66,713,172,404,none
11/11/2015,38,628,157,237,none
11/12/2015,52,485,142,271,none
11/13/2015,48,614,169,265,none
11/14/2015,35,792,147,580,none
11/15/2015,32,529,83,425,none
11/16/2015,66,472,172,480,promotion
11/17/2015,45,699,165,572,none
11/18/2015,59,375,180,436,none
11/19/2015,63,384,115,369,none
11/20/2015,73,490,224,570,none
11/21/2015,74,799,308,470,none
11/22/2015,44,564,225,269,none
11/23/2015,40,285,179,318,none
11/24/2015,41,355,124,332,none
11/25/2015,52,467,176,461,none
11/26/2015,53,554,122,344,none
11/27/2015,67,559,191,391,none
11/28/2015,86,596,197,389,none
11/29/2015,63,532,196,626,none
11/30/2015,54,329,145,659,none
12/1/2015,52,361,148,368,none
12/2/2015,61,398,156,358,none
12/3/2015,47,345,165,439,none
12/4/2015,61,678,192,624,none
12/5/2015,51,535,156,547,none
12/6/2015,45,734,199,453,promotion
12/7/2015,72,846,185,384,promotion
12/8/2015,48,467,188,317,none
12/9/2015,51,562,134,434,none
12/10/2015,48,728,164,445,none
12/11/2015,70,907,274,504,promotion
12/12/2015,58,590,262,423,none
12/13/2015,77,707,185,490,none
12/14/2015,70,404,198,380,none
12/15/2015,60,444,174,272,none
12/16/2015,48,598,155,419,none
12/17/2015,54,638,107,341,none
12/18/2015,63,402,154,327,none
12/19/2015,76,589,168,439,none
12/20/2015,62,657,151,477,none
12/21/2015,46,570,156,238,none
12/22/2015,53,420,134,420,none
12/23/2015,44,505,156,375,none
12/24/2015,46,564,237,405,none
12/25/2015,37,838,240,581,none
12/26/2015,46,445,255,488,none
12/27/2015,49,700,265,483,none
12/28/2015,45,605,69,408,none
12/29/2015,56,508,185,452,none
12/30/2015,28,458,141,356,none
12/31/2015,56,491,190,446,none
